country,datetrack,currency,dollarToLocal,localToDollar,site
AR,20200628,ARS,70.22,0.01,MLA
BO,20200628,BOB,6.96,0.14,MBO
BR,20200628,BRL,5.46,0.18,MLB
CL,20200628,CLP,813.25,0.0,MLC
CO,20200628,COP,3735.93,0.0,MCO
CR,20200628,CRC,578.83,0.0,MCR
CU,20200628,CUC,1200.0,0.0,MCU
DO,20200628,DOP,58.24,0.02,MRD
EC,20200628,USD,1.0,1.0,MEC
GT,20200628,GTQ,7.7,0.13,MGT
HN,20200628,HNL,24.71,0.04,MHN
MX,20200628,MXN,22.97,0.04,MLM
NI,20200628,NIO,34.33,0.03,MNI
PA,20200628,USD,1.0,1.0,MPA
PE,20200628,PEN,3.53,0.28,MPE
PY,20200628,PYG,6781.11,0.0,MPY
SV,20200628,USD,1.0,1.0,MSV
UY,20200628,UYU,42.75,0.02,MLU
